Colná sadzba;Krajina Pôvodu;Súčet Hrubá Hmotnosť;Súčet Čistá Hmotnosť;Súčet Počet Kusov;Súčet Celková Cena
85065090;CZ;1.518;1.369;10.0;151.9
85311030;CN;54.788;48.171;211.0;8912.460000000001
85311030;CZ;19.014;16.671;152.0;4508.49
Zľava;NEŠPECIFIKOVANÁ;0.0;0.0;0.0;-24.0
Spolu;;75.32;66.211;373.0;13548.85
